Wavelength (pm),Intensity (mJy)
10.2419,0.0001
10.4837,0.0001
10.7256,0.0001
10.9675,0.0001
11.2093,0.0001
11.4512,0.0001
11.6931,0.0001
11.9349,0.0001
12.1768,0.0001
12.4187,0.0001
12.6606,0.0001
12.9024,0.0001
13.1443,0.0001
13.3862,0.0001
13.6280,0.0001
13.8699,0.1155
14.1118,0.0001
14.3536,0.0001
14.5955,0.0001
14.8374,0.0001
15.0792,0.0001
15.3211,0.0113
15.5630,0.0001
15.8048,0.0001
16.0467,0.0001
16.2886,0.0001
16.5304,0.0001
16.7723,0.0001
17.0142,0.0001
17.2560,0.0001
17.4979,0.0001
17.7398,0.0001
17.9817,0.0001
18.2235,0.0001
18.4654,0.0001
18.7073,0.0001
18.9491,0.0001
19.1910,0.0001
19.4329,0.0001
19.6747,0.0001
19.9166,0.0001
20.1585,0.0001
20.4003,0.0001
20.6422,0.0001
20.8841,0.0001
21.1259,0.0001
21.3678,0.0001
21.6097,0.0001
21.8515,0.0001
22.0934,0.0001
22.3353,0.0002
22.5771,0.0001
22.8190,0.0001
23.0609,0.0002
23.3028,0.0002
23.5446,0.0002
23.7865,0.0002
24.0284,0.0002
24.2702,0.0002
24.5121,0.0002
24.7540,0.0002
24.9958,0.0002
25.2377,0.0002
25.4796,0.0002
25.7214,0.0002
25.9633,0.0002
26.2052,0.0002
26.4470,0.0002
26.6889,0.0002
26.9308,0.0002
27.1726,0.0002
27.4145,0.0002
27.6564,0.0002
27.8982,0.0002
28.1401,0.0003
28.3820,0.0003
28.6239,0.0003
28.8657,0.0003
29.1076,0.0004
29.3495,0.0004
29.5913,0.0005
29.8332,0.0005
30.0751,0.0006
30.3169,0.0007
30.5588,0.0007
30.8007,0.0008
31.0425,0.0009
31.2844,0.0011
31.5263,0.0012
31.7681,0.0013
32.0100,0.0015
32.2519,0.0016
32.4937,0.0018
32.7356,0.0020
32.9775,0.0023
33.2193,0.0026
33.4612,0.0028
33.7031,0.0030
33.9450,0.0033
34.1868,0.0037
34.4287,0.0040
34.6706,0.0044
34.9124,0.0049
35.1543,0.0052
35.3962,0.0057
35.6380,0.0064
35.8799,0.0070
36.1218,0.0072
36.3636,0.0078
36.6055,0.0087
36.8474,0.0090
37.0892,0.0099
37.3311,0.0105
37.5730,0.0112
37.8148,0.0121
38.0567,0.0125
38.2986,0.0138
38.5405,0.0150
38.7823,0.0155
39.0242,0.0165
39.2661,0.0165
39.5079,0.0181
39.7498,0.0186
39.9917,0.0207
40.2335,0.0207
40.4754,0.0219
40.7173,0.0232
40.9591,0.0449
41.2010,0.0250
41.4429,0.0259
41.6847,0.0275
41.9266,0.0286
42.1685,0.0289
42.4103,0.0310
42.6522,0.0323
42.8941,0.0342
43.1359,0.0357
43.3778,0.0367
43.6197,0.0376
43.8616,0.0382
44.1034,0.0389
44.3453,0.0402
44.5872,0.0413
44.8290,0.0431
45.0709,0.0452
45.3128,0.0462
45.5546,0.0497
45.7965,0.0495
46.0384,0.0504
46.2802,0.0509
46.5221,0.0518
46.7640,0.0540
47.0058,0.0565
47.2477,0.0567
47.4896,0.0597
47.7314,0.0603
47.9733,0.0611
48.2152,0.0622
48.4570,0.0616
48.6989,0.0639
48.9408,0.0653
49.1827,0.0682
49.4245,0.0694
49.6664,0.0702
49.9083,0.0702
50.1501,0.0692
50.3920,0.0734
50.6339,0.0713
50.8757,0.0760
51.1176,0.0771
51.3595,0.0808
51.6013,0.0846
51.8432,0.0774
52.0851,0.0783
52.3269,0.0802
52.5688,0.0813
52.8107,0.0840
53.0525,0.0832
53.2944,0.0833
53.5363,0.0870
53.7781,0.0870
54.0200,0.0886
54.2619,0.0903
54.5038,0.0854
54.7456,0.0895
54.9875,0.0887
55.2294,0.0927
55.4712,0.0890
55.7131,0.0963
55.9550,0.0949
56.1968,0.0948
56.4387,0.0947
56.6806,0.0951
56.9224,0.0953
57.1643,0.0964
57.4062,0.1020
57.6480,0.1023
57.8899,0.1033
58.1318,0.1019
58.3736,0.1009
58.6155,0.1018
58.8574,0.1032
59.0992,0.1020
59.3411,0.1496
59.5830,0.1025
59.8249,0.1016
60.0667,0.1058
60.3086,0.1062
60.5505,0.1299
60.7923,0.1059
61.0342,0.1079
61.2761,0.1067
61.5179,0.1051
61.7598,0.1074
62.0017,0.1093
62.2435,0.1095
62.4854,0.1086
62.7273,0.1080
62.9691,0.1108
