t,H
0.015,0.175
0.049,0.517
0.084,0.747
0.118,0.877
0.152,0.942
0.186,0.973
0.22,0.988
0.254,0.994
0.288,0.998
0.322,0.999
0.357,1.0
0.391,1.0
0.425,1.0
0.459,1.0
0.493,1.0
0.527,1.0
0.561,1.0
0.595,1.0
0.63,1.0
0.664,0.999
0.698,0.998
0.732,0.996
0.766,0.991
0.8,0.981
0.834,0.958
0.868,0.909
0.903,0.81
0.937,0.625
0.971,0.326
1.005,-0.057
1.039,-0.423
1.073,-0.689
1.107,-0.846
1.141,-0.927
1.176,-0.966
1.21,-0.985
1.244,-0.993
1.278,-0.997
1.312,-0.999
1.346,-0.999
1.38,-1.0
1.414,-1.0
1.449,-1.0
1.483,-1.0
1.517,-1.0
1.551,-1.0
1.585,-1.0
1.619,-1.0
1.653,-0.999
1.687,-0.999
1.721,-0.997
1.756,-0.993
1.79,-0.985
1.824,-0.967
1.858,-0.928
1.892,-0.848
1.926,-0.693
1.96,-0.429
1.994,-0.064
2.029,0.319
2.063,0.621
2.097,0.808
2.131,0.908
2.165,0.957
2.199,0.98
2.233,0.991
2.267,0.996
2.302,0.998
2.336,0.999
2.37,1.0
2.404,1.0
2.438,1.0
2.472,1.0
2.506,1.0
2.54,1.0
2.575,1.0
2.609,1.0
2.643,1.0
2.677,0.999
2.711,0.998
2.745,0.995
2.779,0.988
2.813,0.974
2.848,0.943
2.882,0.878
2.916,0.751
2.95,0.522
2.984,0.182
3.018,-0.208
3.052,-0.541
3.086,-0.762
3.121,-0.884
3.155,-0.946
3.189,-0.975
3.223,-0.989
3.257,-0.995
3.291,-0.998
3.325,-0.999
3.359,-1.0
3.394,-1.0
3.428,-1.0
3.462,-1.0
3.496,-1.0
3.53,-1.0
3.564,-1.0
3.598,-1.0
3.632,-1.0
3.667,-0.999
3.701,-0.998
3.735,-0.996
3.769,-0.991
3.803,-0.979
3.837,-0.955
3.871,-0.903
3.905,-0.799
3.94,-0.604
3.974,-0.296
4.008,0.09
4.042,0.45
4.076,0.706
4.11,0.855
4.144,0.932
4.178,0.968
4.213,0.986
4.247,0.993
4.281,0.997
4.315,0.999
4.349,0.999
4.383,1.0
4.417,1.0
4.451,1.0
4.486,1.0
4.52,1.0
4.554,1.0
4.588,1.0
4.622,1.0
4.656,0.999
4.69,0.998
4.724,0.997
4.759,0.993
4.793,0.984
4.827,0.964
4.861,0.923
4.895,0.838
4.929,0.675
4.963,0.401
4.997,0.03
5.032,-0.349
5.066,-0.641
5.1,-0.819
5.134,-0.914
5.168,-0.96
5.202,-0.982
5.236,-0.992
5.27,-0.996
5.304,-0.998
5.339,-0.999
5.373,-1.0
5.407,-1.0
5.441,-1.0
5.475,-1.0
5.509,-1.0
